YYYY DOY Hour    X(au)     Y(au)     Z(au)
2020   8  19 -121.0373   10.1704   84.4261
2020   8  20 -121.0376   10.1704   84.4263
2020   8  21 -121.0379   10.1704   84.4266
2020   8  22 -121.0382   10.1704   84.4268
2020   8  23 -121.0386   10.1704   84.4270
2020   9   0 -121.0389   10.1704   84.4273
2020   9   1 -121.0392   10.1704   84.4275
2020   9   2 -121.0396   10.1704   84.4277
2020   9   3 -121.0399   10.1704   84.4280
2020   9   4 -121.0402   10.1704   84.4282
2020   9   5 -121.0406   10.1704   84.4285
2020   9   6 -121.0409   10.1704   84.4287
2020   9   7 -121.0412   10.1703   84.4289
2020   9   8 -121.0415   10.1704   84.4292
2020   9   9 -121.0419   10.1703   84.4294
2020   9  10 -121.0422   10.1703   84.4297
2020   9  11 -121.0425   10.1703   84.4299
2020   9  12 -121.0429   10.1703   84.4301
2020   9  13 -121.0432   10.1703   84.4304
2020   9  14 -121.0435   10.1703   84.4306
2020   9  15 -121.0439   10.1703   84.4309
2020   9  16 -121.0442   10.1703   84.4311
2020   9  17 -121.0445   10.1703   84.4313
2020   9  18 -121.0448   10.1703   84.4316
2020   9  19 -121.0452   10.1703   84.4318
2020   9  20 -121.0455   10.1703   84.4321
2020   9  21 -121.0458   10.1703   84.4323
2020   9  22 -121.0462   10.1703   84.4325
2020   9  23 -121.0465   10.1703   84.4328
2020  10   0 -121.0468   10.1703   84.4330
2020  10   1 -121.0472   10.1703   84.4333
2020  10   2 -121.0475   10.1703   84.4335
2020  10   3 -121.0478   10.1703   84.4337
2020  10   4 -121.0481   10.1703   84.4340
2020  10   5 -121.0485   10.1703   84.4342
2020  10   6 -121.0488   10.1703   84.4344
2020  10   7 -121.0491   10.1703   84.4347
2020  10   8 -121.0495   10.1703   84.4349
2020  10   9 -121.0498   10.1703   84.4352
2020  10  10 -121.0501   10.1703   84.4354
2020  10  11 -121.0505   10.1703   84.4357
2020  10  12 -121.0508   10.1703   84.4359
2020  10  13 -121.0511   10.1703   84.4361
2020  10  14 -121.0514   10.1703   84.4364
2020  10  15 -121.0518   10.1703   84.4366
2020  10  16 -121.0521   10.1703   84.4368
2020  10  17 -121.0524   10.1702   84.4371
2020  10  18 -121.0528   10.1703   84.4373
2020  10  19 -121.0531   10.1702   84.4376
2020  10  20 -121.0534   10.1702   84.4378
2020  10  21 -121.0538   10.1702   84.4380
2020  10  22 -121.0541   10.1703   84.4383
2020  10  23 -121.0544   10.1703   84.4385
2020  11   0 -121.0548   10.1703   84.4388
2020  11   1 -121.0551   10.1703   84.4390
2020  11   2 -121.0554   10.1702   84.4392
2020  11   3 -121.0557   10.1703   84.4395
2020  11   4 -121.0561   10.1702   84.4397
2020  11   5 -121.0564   10.1702   84.4400
2020  11   6 -121.0567   10.1702   84.4402
2020  11   7 -121.0571   10.1702   84.4404
2020  11   8 -121.0574   10.1702   84.4407
2020  11   9 -121.0577   10.1702   84.4409
2020  11  10 -121.0581   10.1702   84.4412
2020  11  11 -121.0584   10.1702   84.4414
2020  11  12 -121.0587   10.1702   84.4416
2020  11  13 -121.0591   10.1702   84.4419
2020  11  14 -121.0594   10.1702   84.4421
2020  11  15 -121.0597   10.1702   84.4423
2020  11  16 -121.0600   10.1702   84.4426
2020  11  17 -121.0604   10.1702   84.4428
2020  11  18 -121.0607   10.1702   84.4431
2020  11  19 -121.0610   10.1702   84.4433
2020  11  20 -121.0614   10.1702   84.4436
2020  11  21 -121.0617   10.1702   84.4438
2020  11  22 -121.0620   10.1702   84.4440
2020  11  23 -121.0624   10.1702   84.4443
2020  12   0 -121.0627   10.1702   84.4445
2020  12   1 -121.0630   10.1702   84.4448
2020  12   2 -121.0634   10.1702   84.4450
2020  12   3 -121.0637   10.1702   84.4452
2020  12   4 -121.0640   10.1702   84.4455
2020  12   5 -121.0643   10.1702   84.4457
2020  12   6 -121.0647   10.1702   84.4459
2020  12   7 -121.0650   10.1702   84.4462
2020  12   8 -121.0653   10.1702   84.4464
2020  12   9 -121.0656   10.1702   84.4467
2020  12  10 -121.0660   10.1702   84.4469
2020  12  11 -121.0663   10.1702   84.4471
2020  12  12 -121.0666   10.1701   84.4474
2020  12  13 -121.0670   10.1702   84.4476
2020  12  14 -121.0673   10.1701   84.4479
2020  12  15 -121.0676   10.1701   84.4481
2020  12  16 -121.0680   10.1701   84.4483
2020  12  17 -121.0683   10.1701   84.4486
2020  12  18 -121.0686   10.1701   84.4488
2020  12  19 -121.0690   10.1701   84.4491
2020  12  20 -121.0693   10.1702   84.4493
2020  12  21 -121.0696   10.1701   84.4495
2020  12  22 -121.0700   10.1701   84.4498
2020  12  23 -121.0703   10.1701   84.4500
2020  13   0 -121.0706   10.1701   84.4503
2020  13   1 -121.0709   10.1701   84.4505
2020  13   2 -121.0713   10.1701   84.4508
2020  13   3 -121.0716   10.1701   84.4510
2020  13   4 -121.0719   10.1701   84.4512
2020  13   5 -121.0723   10.1701   84.4514
2020  13   6 -121.0726   10.1701   84.4517
2020  13   7 -121.0729   10.1701   84.4519
2020  13   8 -121.0732   10.1701   84.4522
2020  13   9 -121.0736   10.1701   84.4524
2020  13  10 -121.0739   10.1701   84.4527
2020  13  11 -121.0742   10.1701   84.4529
2020  13  12 -121.0746   10.1701   84.4531
2020  13  13 -121.0749   10.1701   84.4534
2020  13  14 -121.0752   10.1701   84.4536
2020  13  15 -121.0756   10.1701   84.4539
2020  13  16 -121.0759   10.1701   84.4541
2020  13  17 -121.0762   10.1701   84.4543
2020  13  18 -121.0766   10.1701   84.4546
2020  13  19 -121.0769   10.1701   84.4548
2020  13  20 -121.0772   10.1701   84.4551
2020  13  21 -121.0775   10.1701   84.4553
2020  13  22 -121.0779   10.1701   84.4555
2020  13  23 -121.0782   10.1701   84.4558
2020  14   0 -121.0785   10.1701   84.4560
2020  14   1 -121.0789   10.1700   84.4563
2020  14   2 -121.0792   10.1700   84.4565
2020  14   3 -121.0795   10.1701   84.4567
2020  14   4 -121.0798   10.1701   84.4570
2020  14   5 -121.0802   10.1700   84.4572
2020  14   6 -121.0805   10.1701   84.4574
2020  14   7 -121.0808   10.1700   84.4577
2020  14   8 -121.0812   10.1700   84.4579
2020  14   9 -121.0815   10.1700   84.4582
2020  14  10 -121.0818   10.1700   84.4584
2020  14  11 -121.0822   10.1700   84.4586
2020  14  12 -121.0825   10.1700   84.4589
2020  14  13 -121.0828   10.1700   84.4591
2020  14  14 -121.0832   10.1700   84.4594
2020  14  15 -121.0835   10.1700   84.4596
2020  14  16 -121.0838   10.1700   84.4599
2020  14  17 -121.0842   10.1700   84.4601
2020  14  18 -121.0845   10.1700   84.4603
2020  14  19 -121.0848   10.1700   84.4606
2020  14  20 -121.0851   10.1700   84.4608
2020  14  21 -121.0855   10.1700   84.4610
2020  14  22 -121.0858   10.1700   84.4613
2020  14  23 -121.0861   10.1700   84.4615
2020  15   0 -121.0865   10.1700   84.4617
2020  15   1 -121.0868   10.1700   84.4620
2020  15   2 -121.0871   10.1700   84.4622
2020  15   3 -121.0875   10.1700   84.4625
2020  15   4 -121.0878   10.1700   84.4627
2020  15   5 -121.0881   10.1700   84.4629
2020  15   6 -121.0884   10.1700   84.4632
2020  15   7 -121.0888   10.1700   84.4634
2020  15   8 -121.0891   10.1700   84.4637
2020  15   9 -121.0894   10.1700   84.4639
2020  15  10 -121.0898   10.1700   84.4642
2020  15  11 -121.0901   10.1700   84.4644
2020  15  12 -121.0904   10.1700   84.4646
2020  15  13 -121.0908   10.1700   84.4649
2020  15  14 -121.0911   10.1700   84.4651
2020  15  15 -121.0914   10.1700   84.4654
2020  15  16 -121.0917   10.1700   84.4656
2020  15  17 -121.0921   10.1700   84.4658
2020  15  18 -121.0924   10.1699   84.4661
2020  15  19 -121.0927   10.1699   84.4663
2020  15  20 -121.0931   10.1699   84.4666
2020  15  21 -121.0934   10.1699   84.4668
2020  15  22 -121.0937   10.1699   84.4670
2020  15  23 -121.0941   10.1699   84.4673
2020  16   0 -121.0944   10.1699   84.4675
2020  16   1 -121.0947   10.1699   84.4677
2020  16   2 -121.0951   10.1699   84.4680
2020  16   3 -121.0954   10.1699   84.4682
2020  16   4 -121.0957   10.1699   84.4685
2020  16   5 -121.0960   10.1699   84.4687
2020  16   6 -121.0964   10.1699   84.4689
2020  16   7 -121.0967   10.1699   84.4692
2020  16   8 -121.0970   10.1699   84.4694
2020  16   9 -121.0974   10.1699   84.4697
2020  16  10 -121.0977   10.1699   84.4699
2020  16  11 -121.0980   10.1699   84.4701
2020  16  12 -121.0983   10.1699   84.4704
2020  16  13 -121.0987   10.1699   84.4706
2020  16  14 -121.0990   10.1699   84.4709
2020  16  15 -121.0994   10.1699   84.4711
2020  16  16 -121.0997   10.1699   84.4713
2020  16  17 -121.1000   10.1699   84.4716
2020  16  18 -121.1003   10.1699   84.4718
2020  16  19 -121.1007   10.1699   84.4721
2020  16  20 -121.1010   10.1699   84.4723
2020  16  21 -121.1013   10.1699   84.4725
2020  16  22 -121.1017   10.1699   84.4728
2020  16  23 -121.1020   10.1699   84.4730
2020  17   0 -121.1023   10.1699   84.4732
2020  17   1 -121.1027   10.1699   84.4735
2020  17   2 -121.1030   10.1699   84.4737
2020  17   3 -121.1033   10.1699   84.4740
2020  17   4 -121.1036   10.1698   84.4742
2020  17   5 -121.1040   10.1699   84.4745
2020  17   6 -121.1043   10.1698   84.4747
2020  17   7 -121.1046   10.1699   84.4749
2020  17   8 -121.1050   10.1699   84.4752
2020  17   9 -121.1053   10.1699   84.4754
2020  17  10 -121.1056   10.1699   84.4757
2020  17  11 -121.1060   10.1698   84.4759
2020  17  12 -121.1063   10.1699   84.4761
2020  17  13 -121.1066   10.1698   84.4764
2020  17  14 -121.1069   10.1698   84.4766
2020  17  15 -121.1073   10.1698   84.4768
2020  17  16 -121.1076   10.1698   84.4771
2020  17  17 -121.1079   10.1698   84.4773
2020  17  18 -121.1083   10.1698   84.4776
2020  17  19 -121.1086   10.1698   84.4778
2020  17  20 -121.1089   10.1698   84.4780
2020  17  21 -121.1093   10.1698   84.4783
2020  17  22 -121.1096   10.1698   84.4785
2020  17  23 -121.1099   10.1698   84.4788
2020  18   0 -121.1102   10.1698   84.4790
2020  18   1 -121.1106   10.1698   84.4792
